n_components,mean_test_rmse,std_test_rmse
1,0.13245507097413572,0.0
2,0.13413386543263967,0.0
3,0.12748097302062916,0.0
4,0.1200075427539123,0.0
5,0.12108900621550184,0.0
6,0.12227180830575501,0.0
7,0.1203300583353613,0.0
8,0.1190536142500847,0.0
9,0.1202220313371534,0.0
10,0.12059002083470331,0.0
11,0.12018241107938835,0.0
12,0.12180359223358382,0.0
13,0.12153108933750902,0.0
14,0.12405067503392977,0.0
15,0.12446982825853356,0.0
16,0.12598260870381986,0.0
17,0.12681444873393738,0.0
18,0.12761604481416364,0.0
19,0.12758621724255503,0.0
20,0.12606952451018438,0.0
21,0.12250455845994739,0.0
22,0.12293985568577219,0.0
23,0.12137271797189023,0.0
24,0.12105111146624997,0.0
25,0.12115106662270465,0.0
26,0.12215097072583754,0.0
27,0.12373535943254894,0.0
28,0.12455390435143111,0.0
29,0.12460924330915688,0.0
30,0.12460608038225486,0.0
31,0.12514792078272144,0.0
32,0.12403858169734824,0.0
33,0.1253821030618284,0.0
34,0.1275670494644169,0.0
35,0.12766372391306907,0.0
36,0.12807260146364527,0.0
37,0.1283180537531476,0.0
38,0.1292591595061557,0.0
39,0.13054925303437273,0.0
40,0.12945031558714057,0.0
41,0.12644272781284188,0.0
42,0.12631099039973864,0.0
43,0.1259511787993206,0.0
44,0.12730064072698954,0.0
45,0.12771042553260295,0.0
46,0.1291683701871356,0.0
47,0.12832686910163102,0.0
48,0.1280384757862925,0.0
49,0.12882274602324298,0.0
50,0.13079439602637638,0.0
