mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
18.669352722167968,0.222799427145463,0.0072062969207763675,0.0014974436050327119,0.8,0.5,0.5,300,4,0.01,0.9,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",-0.20023222267627716,-0.20824413001537323,-0.2132965624332428,-0.14519403874874115,-0.20386795699596405,-0.19416698217391967,0.024873086558861723,4
15.635450458526611,1.7974949490090892,0.006285619735717773,0.0005565120570830481,0.7,2.0,0.5,300,4,0.01,0.8,"{'subsample': 0.7, 'reg_lambda': 2.0, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-0.19868893921375275,-0.20999392867088318,-0.20955868065357208,-0.14226621389389038,-0.2031203955411911,-0.1927256315946579,0.025578548099910652,2
14.711202430725098,0.47457198610657253,0.005545520782470703,0.00023723832776596543,0.9,2.0,0.0,100,6,0.05,0.9,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0.0, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",-0.2231190949678421,-0.19352050125598907,-0.2105368971824646,-0.158001109957695,-0.21329595148563385,-0.19969471096992492,0.02292477150191079,32
64.5325406551361,0.8650141214081505,0.006129407882690429,0.001141635131390828,0.7,1.0,0.0,300,8,0.01,0.9,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",-0.20674048364162445,-0.19764100015163422,-0.21493692696094513,-0.13110394775867462,-0.21536384522914886,-0.19315724074840546,0.03169450353241858,3
4.705351305007935,0.11211212774762731,0.0056170463562011715,0.0004193591443673527,0.7,1.0,1.0,100,4,0.1,0.8,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 1.0, 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",-0.20564699172973633,-0.20852772891521454,-0.2055826038122177,-0.14372208714485168,-0.21579609811306,-0.19585510194301606,0.026330953012705115,12
36.31096305847168,6.681000563501742,0.006767845153808594,0.0012868572394375845,0.8,2.0,0.0,200,8,0.01,0.7,"{'subsample': 0.8, 'reg_lambda': 2.0, 'reg_alpha': 0.0, 'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",-0.19818638265132904,-0.2086479663848877,-0.21602696180343628,-0.14426136016845703,-0.2139270305633545,-0.1962099403142929,0.026697847941762352,16
26.47383427619934,0.6772715638233509,0.006939601898193359,0.0024080785679862974,0.9,1.0,0.0,200,6,0.05,0.9,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",-0.23092591762542725,-0.19298599660396576,-0.21705852448940277,-0.1487477868795395,-0.21412509679794312,-0.20076866447925568,0.028705244699385044,36
12.081655073165894,1.6581108130686653,0.005967378616333008,0.00046024899532465057,0.7,0.5,1.0,200,6,0.05,0.7,"{'subsample': 0.7, 'reg_lambda': 0.5, 'reg_alpha': 1.0, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",-0.20775356888771057,-0.21120122075080872,-0.2097504436969757,-0.14245648682117462,-0.20820274949073792,-0.1958728939294815,0.026735864731388857,13
24.913458728790282,0.5884747449172766,0.006934213638305664,0.001754229185200224,0.9,1.0,0.5,200,8,0.05,0.9,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",-0.2143586128950119,-0.2115505039691925,-0.21470671892166138,-0.157209575176239,-0.2117750644683838,-0.2019200950860977,0.02239245525522442,41
16.777369260787964,2.3196680871460886,0.0068416595458984375,0.0005830530129772484,0.8,2.0,1.0,300,6,0.05,0.9,"{'subsample': 0.8, 'reg_lambda': 2.0, 'reg_alpha': 1.0, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",-0.21011780202388763,-0.21612000465393066,-0.20970109105110168,-0.14713750779628754,-0.20237646996974945,-0.1970905750989914,0.025353905263886797,20
11.356623601913451,0.23262907330879704,0.006517553329467773,0.0007489892185281602,0.8,2.0,0.5,100,6,0.05,0.8,"{'subsample': 0.8, 'reg_lambda': 2.0, 'reg_alpha': 0.5, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-0.21237003803253174,-0.21916821599006653,-0.20932163298130035,-0.1459449976682663,-0.2054385244846344,-0.19844868183135986,0.026633884703355346,23
39.56132745742798,0.7404427184085646,0.006577730178833008,0.0005301694810562342,0.9,1.0,1.0,300,8,0.01,0.8,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 1.0, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-0.1983465999364853,-0.21879518032073975,-0.21648265421390533,-0.15676632523536682,-0.21134938299655914,-0.20034802854061126,0.02291298292988318,35
9.115446853637696,0.28550009033643303,0.005557727813720703,0.0004342941740585898,0.8,0.5,1.0,200,8,0.1,0.7,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 1.0, 'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",-0.21035441756248474,-0.22020308673381805,-0.2089841514825821,-0.15085293352603912,-0.20811833441257477,-0.19970258474349975,0.024807228268997644,33
11.25819640159607,0.5000818332167343,0.004830265045166015,6.0283344484978736e-05,0.7,2.0,1.0,200,10,0.1,0.7,"{'subsample': 0.7, 'reg_lambda': 2.0, 'reg_alpha': 1.0, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",-0.20528656244277954,-0.21197710931301117,-0.21648290753364563,-0.1388886719942093,-0.22315330803394318,-0.19915771186351777,0.03069269609448359,26
5.372721767425537,0.6866282552264753,0.004706573486328125,0.0009546511106139909,0.7,0.5,0.0,100,4,0.1,0.9,"{'subsample': 0.7, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",-0.2524065375328064,-0.20017002522945404,-0.21205155551433563,-0.130228191614151,-0.23038028180599213,-0.20504731833934783,0.04136521178725125,48
