n_components,mean_test_rmse,std_test_rmse
1,0.09470585788166834,0.0
2,0.09507060302921203,0.0
3,0.08999782709119179,0.0
4,0.08689323570035955,0.0
5,0.09213572499564356,0.0
6,0.1001324063569085,0.0
7,0.10277306191452579,0.0
8,0.10671265292994435,0.0
9,0.10603357948645989,0.0
10,0.11071890203440567,0.0
11,0.1194855643238912,0.0
12,0.12949459745001712,0.0
13,0.13296741996816092,0.0
14,0.13639522590067052,0.0
15,0.137300865845203,0.0
16,0.14610460762618868,0.0
17,0.1513755038551402,0.0
18,0.15901473702303245,0.0
19,0.15908032458134383,0.0
20,0.15855992115784207,0.0
21,0.1527939467906252,0.0
22,0.14922270688793723,0.0
23,0.14508243124084413,0.0
24,0.13786465978510867,0.0
25,0.13067692892262517,0.0
26,0.12453106022034403,0.0
27,0.11211818870917153,0.0
28,0.10391773437665028,0.0
29,0.10116718861533983,0.0
30,0.10199217046298825,0.0
31,0.10510548246947135,0.0
32,0.10503346801214226,0.0
33,0.10354940276720079,0.0
34,0.10009187836166106,0.0
35,0.09777418174045288,0.0
36,0.09700679564626082,0.0
37,0.09452715111709718,0.0
38,0.09396662968928743,0.0
39,0.09246745088584846,0.0
40,0.09315654879416553,0.0
41,0.09440870828317892,0.0
42,0.0949283324145768,0.0
43,0.09347340288292204,0.0
44,0.0925375022117413,0.0
45,0.09297258556349229,0.0
46,0.09298323701872419,0.0
47,0.09256309677895368,0.0
48,0.09268076445901953,0.0
49,0.09526781317604872,0.0
50,0.09869598185172598,0.0
