mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0.17481493949890137,0.0,0.0014388561248779297,0.0,0.7,0.5,0.0,100,10,4,0.1,0.0,0.9,"{'subsample': 0.7, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.0, 'colsample_bytree': 0.9}",-0.08798088878393173,-0.08798088878393173,0.0,6
0.10448241233825684,0.0,0.0012826919555664062,0.0,0.9,1.0,0.1,200,3,10,0.05,1.0,0.9,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 10, 'learning_rate': 0.05, 'gamma': 1.0, 'colsample_bytree': 0.9}",-0.11577649414539337,-0.11577649414539337,0.0,196
0.2890200614929199,0.0,0.001420736312866211,0.0,0.9,2.0,0.5,500,3,10,0.03,0.1,0.8,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0.5, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 10, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.8}",-0.09401808679103851,-0.09401808679103851,0.0,81
0.15246367454528809,0.0,0.001338958740234375,0.0,0.7,5.0,0.1,300,3,10,0.1,1.0,0.9,"{'subsample': 0.7, 'reg_lambda': 5.0, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 1.0, 'colsample_bytree': 0.9}",-0.11537715047597885,-0.11537715047597885,0.0,145
0.18977618217468262,0.0,0.001455068588256836,0.0,0.7,1.0,0.5,100,10,4,0.03,0.0,0.9,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.03, 'gamma': 0.0, 'colsample_bytree': 0.9}",-0.08901586383581161,-0.08901586383581161,0.0,12
0.18895483016967773,0.0,0.0024955272674560547,0.0,0.7,0.5,0.0,300,3,10,0.05,0.1,0.8,"{'subsample': 0.7, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 10, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.8}",-0.09213540703058243,-0.09213540703058243,0.0,54
0.25456881523132324,0.0,0.0013892650604248047,0.0,0.9,5.0,1.0,300,1,4,0.01,0.1,0.9,"{'subsample': 0.9, 'reg_lambda': 5.0, 'reg_alpha': 1.0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.9}",-0.09721360355615616,-0.09721360355615616,0.0,93
0.23317313194274902,0.0,0.001394033432006836,0.0,0.9,2.0,1.0,300,10,3,0.01,0.1,0.7,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 1.0, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.7}",-0.0970640629529953,-0.0970640629529953,0.0,90
0.05642962455749512,0.0,0.0012733936309814453,0.0,0.6,1.0,0.1,100,3,3,0.05,1.0,0.8,"{'subsample': 0.6, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 1.0, 'colsample_bytree': 0.8}",-0.11570735275745392,-0.11570735275745392,0.0,190
0.15328288078308105,0.0,0.0012979507446289062,0.0,0.6,0.5,0.5,300,1,10,0.03,0.5,0.8,"{'subsample': 0.6, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.03, 'gamma': 0.5, 'colsample_bytree': 0.8}",-0.11475371569395065,-0.11475371569395065,0.0,143
0.3725271224975586,0.0,0.001428365707397461,0.0,0.9,2.0,0.0,500,3,3,0.01,0.1,0.8,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0.0, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.8}",-0.0920582115650177,-0.0920582115650177,0.0,50
0.8710622787475586,0.0,0.0020732879638671875,0.0,0.9,2.0,0.5,500,5,6,0.05,0.0,0.9,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0.5, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 0.9}",-0.09387800842523575,-0.09387800842523575,0.0,79
0.05590534210205078,0.0,0.0014345645904541016,0.0,0.8,2.0,1.0,100,1,8,0.05,1.0,0.7,"{'subsample': 0.8, 'reg_lambda': 2.0, 'reg_alpha': 1.0, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 1.0, 'colsample_bytree': 0.7}",-0.11561106890439987,-0.11561106890439987,0.0,158
0.24082350730895996,0.0,0.0014824867248535156,0.0,0.9,5.0,1.0,500,10,3,0.03,1.0,0.7,"{'subsample': 0.9, 'reg_lambda': 5.0, 'reg_alpha': 1.0, 'n_estimators': 500, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.03, 'gamma': 1.0, 'colsample_bytree': 0.7}",-0.11564533412456512,-0.11564533412456512,0.0,172
0.24264121055603027,0.0,0.0014219284057617188,0.0,0.9,2.0,0.1,500,3,6,0.03,0.5,0.7,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0.1, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.5, 'colsample_bytree': 0.7}",-0.1113256961107254,-0.1113256961107254,0.0,110
0.8060998916625977,0.0,0.0019943714141845703,0.0,0.9,2.0,1.0,300,5,6,0.01,0.0,0.6,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 1.0, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.0, 'colsample_bytree': 0.6}",-0.09278922528028488,-0.09278922528028488,0.0,65
0.24655508995056152,0.0,0.0014336109161376953,0.0,0.9,5.0,0.0,500,10,3,0.01,0.5,0.7,"{'subsample': 0.9, 'reg_lambda': 5.0, 'reg_alpha': 0.0, 'n_estimators': 500, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 0.7}",-0.11170399188995361,-0.11170399188995361,0.0,115
